year,event_code,bib,name,finished,dnf_type,cp_id,cp_name,cp_type,arrival_time,split_label,split_secs,elapsed_str,dwell_secs
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101421,Start HK Trail,control,,,0,16:10:23,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101422,End HK Trail,control,,,0,16:10:23,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101424,Start Lantau Trail,control,,,0,16:10:23,
2021,21hk4tuc,11,Sarah Pemberton,False,Retired,101425,Finish,finish,,,0,16:10:23,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101412,Start,start,2021-02-12 06:53:00,,0,00:00:00,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101415,End Maclehose Trail,control,2021-02-13 00:23:50,17:30:50,63050,17:30:50,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101418,Start Wilson Trail,control,2021-02-13 02:11:13,01:47:23,6443,19:18:13,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101419,End Wilson Trail,control,,,0,19:18:13,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101421,Start HK Trail,control,,,0,19:18:13,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101422,End HK Trail,control,,,0,19:18:13,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101424,Start Lantau Trail,control,,,0,19:18:13,
2021,21hk4tuc,5,Joe Chau Kwan Hung 周群雄,False,Retired,101425,Finish,finish,,,0,19:18:13,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166740,Start,start,2022-02-02 08:39:00,,0,00:00:00,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166743,End Maclehose Trail,control,2022-02-02 22:15:59,13:36:59,49019,13:36:59,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166746,Start Wilson Trail,control,2022-02-02 23:05:00,00:49:01,2941,14:26:00,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166749,End Wilson Trail,control,2022-02-03 11:33:14,12:28:14,44894,26:54:14,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166752,Start HK Trail,control,2022-02-03 12:18:45,00:45:31,2731,27:39:45,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166755,End HK Trail,control,2022-02-03 19:41:48,07:23:03,26583,35:02:48,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166758,Start Lantau Trail,control,2022-02-03 20:11:30,00:29:42,1782,35:32:30,
2022,22hk4tuc,14,Wong Ho Chung 黃浩聰,True,N/A,166764,Finish,finish,2022-02-04 07:34:15,11:22:45,40965,46:55:15,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166740,Start,start,2022-02-02 08:27:00,,0,00:00:00,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166743,End Maclehose Trail,control,2022-02-02 22:14:00,13:47:00,49620,13:47:00,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166746,Start Wilson Trail,control,2022-02-02 23:46:00,01:32:00,5520,15:19:00,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166749,End Wilson Trail,control,2022-02-03 15:13:53,15:27:53,55673,30:46:53,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166752,Start HK Trail,control,2022-02-03 15:35:15,00:21:22,1282,31:08:15,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166755,End HK Trail,control,2022-02-04 00:24:15,08:49:00,31740,39:57:15,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166758,Start Lantau Trail,control,2022-02-04 00:59:44,00:35:29,2129,40:32:44,
2022,22hk4tuc,10,Thomas Lam Shing Yip 林成業,True,N/A,166764,Finish,finish,2022-02-04 15:59:20,14:59:36,53976,55:32:20,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166740,Start,start,2022-02-02 08:36:00,,0,00:00:00,
